throughput,workload,config_id
20529.1958305203,ycsb-2400,93
22476.7958340207,ycsb-600,94
19865.8137962939,smallbank-1,94
600.626997899739,tpcc-8,94
29160.7666248696,voter-16,94
28703.3833208952,voter-2,94
15042.2749061495,ycsb-2400,94
726.022942601882,tpcc-2,94
11974.8519293592,smallbank-10,94
25628.5833286348,voter-16,95
26379.5999771377,voter-2,95
20558.7132113922,ycsb-600,95
16806.4087416992,smallbank-1,95
578.732406358347,tpcc-8,95
666.24273776539,tpcc-2,95
11652.4873839402,smallbank-10,95
13793.2498243481,ycsb-2400,95
12169.9681135582,ycsb-2400,96
773.323841247176,tpcc-2,96
16763.9395742266,smallbank-10,96
15869.808379241,ycsb-600,96
278.8796081246,tpcc-8,96
22729.6510710015,smallbank-1,96
45501.0498801806,voter-16,96
45191.9492528264,voter-2,96
700.614943620982,tpcc-2,97
12427.2453999029,smallbank-10,97
13802.4582017541,ycsb-2400,97
29335.2666241305,voter-16,97
28631.6462516403,voter-2,97
21930.0303668834,ycsb-600,97
597.982144494998,tpcc-8,97
18587.829680845,smallbank-1,97
46645.6999424703,voter-2,98
46635.2499665781,voter-16,98
488.809576328972,tpcc-8,98
25631.1303639985,smallbank-1,98
26490.4224274371,ycsb-600,98
17689.0842230182,smallbank-10,98
912.534001697225,tpcc-2,98
18613.6716856188,ycsb-2400,98
630.213237960035,tpcc-8,99
18274.5032095803,smallbank-1,99
23372.0498800235,ycsb-600,99
29247.1332977493,voter-2,99
30432.5166453639,voter-16,99
15312.8602984966,ycsb-2400,99
12852.4905610869,smallbank-10,99
758.895409087519,tpcc-2,99
601.679709205857,tpcc-8,100
22312.7367344303,ycsb-600,100
29457.2333186047,voter-16,100
12144.1876937576,smallbank-10,100
28479.9666600213,voter-2,100
701.587650888032,tpcc-2,100
