config_id,workload,time,max-resident-set-size
3037,blue_sky_1080p25_short.y4m,34.34,394724.0
2944,blue_sky_1080p25_short.y4m,11.97,225924.0
1907,blue_sky_1080p25_short.y4m,1.49,267836.0
565,riverbed_1080p25_short.y4m,52.21,157144.0
3079,sd_crew_cif_short.y4m,1.86,26928.0
2364,Johnny_1280x720_60_short.y4m,9.95,80048.0
3044,blue_sky_1080p25_short.y4m,12.35,236956.0
1,blue_sky_1080p25_short.y4m,2.9,251800.0
574,sd_bridge_close_cif_short.y4m,0.82,15440.0
2433,pedestrian_area_1080p25_short.y4m,19.59,418592.0
409,sintel_trailer_2k_720p24_short.y4m,2.1,120896.0
237,sd_city_4cif_short.y4m,16.2,82676.0
495,sd_bridge_close_cif_short.y4m,0.66,15688.0
1471,pedestrian_area_1080p25_short.y4m,16.49,245616.0
914,riverbed_1080p25_short.y4m,6.96,252568.0
2759,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,4.27,518032.0
40,sd_city_4cif_short.y4m,5.92,55460.0
1080,Johnny_1280x720_60_short.y4m,1.69,81284.0
1745,sd_crew_cif_short.y4m,0.21,25748.0
942,sd_crew_cif_short.y4m,2.9,22740.0
2452,Johnny_1280x720_60_short.y4m,1.91,301208.0
629,riverbed_1080p25_short.y4m,27.64,222064.0
1419,sd_city_4cif_short.y4m,6.35,65900.0
3108,sd_bridge_close_cif_short.y4m,1.52,14716.0
2841,sd_crew_cif_short.y4m,1.16,15448.0
1581,sd_city_4cif_short.y4m,0.68,61864.0
1368,riverbed_1080p25_short.y4m,30.77,249240.0
230,sd_bridge_close_cif_short.y4m,0.17,23108.0
1520,sd_city_4cif_short.y4m,0.81,165976.0
1301,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,7.85,753276.0
926,Johnny_1280x720_60_short.y4m,25.84,197440.0
1765,riverbed_1080p25_short.y4m,52.14,157080.0
1265,riverbed_1080p25_short.y4m,7.69,182112.0
2960,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,90.05,1098224.0
2796,blue_sky_1080p25_short.y4m,26.86,371548.0
3015,riverbed_1080p25_short.y4m,41.76,421200.0
2860,Johnny_1280x720_60_short.y4m,12.96,333304.0
568,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,3.04,807580.0
1232,riverbed_1080p25_short.y4m,8.14,252772.0
924,pedestrian_area_1080p25_short.y4m,2.25,420836.0
393,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,32.29,809724.0
2272,sd_city_4cif_short.y4m,9.12,88648.0
1665,sd_crew_cif_short.y4m,2.82,22644.0
347,Johnny_1280x720_60_short.y4m,1.99,192780.0
296,riverbed_1080p25_short.y4m,6.92,251800.0
1162,sd_crew_cif_short.y4m,0.15,12780.0
1564,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,66.42,572304.0
1950,blue_sky_1080p25_short.y4m,17.2,397408.0
763,sd_bridge_close_cif_short.y4m,0.66,15392.0
2921,blue_sky_1080p25_short.y4m,1.43,226184.0
2113,sd_city_4cif_short.y4m,9.55,165272.0
2485,sintel_trailer_2k_720p24_short.y4m,3.12,211536.0
1592,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,40.53,807004.0
