time,workload,config_id
1.76,jpeg-medium,56
0.44,jpeg-small,56
2.46,png-large,56
0.65,png-medium,56
0.56,png-small,56
54.62,psd-large,56
1.29,psd-medium,56
0.57,psd-small,56
1.44,svg-large,56
1.53,svg-medium,56
0.5,svg-small,56
2.25,jpeg-large,57
1.32,jpeg-medium,57
0.41,jpeg-small,57
1.84,png-large,57
0.53,png-medium,57
0.38,png-small,57
24.15,psd-large,57
1.17,psd-medium,57
0.5,psd-small,57
1.56,svg-large,57
1.54,svg-medium,57
0.51,svg-small,57
3.02,jpeg-large,58
1.69,jpeg-medium,58
0.47,jpeg-small,58
2.51,png-large,58
0.68,png-medium,58
0.43,png-small,58
31.87,psd-large,58
1.26,psd-medium,58
0.6,psd-small,58
1.46,svg-large,58
1.53,svg-medium,58
0.61,svg-small,58
2.37,jpeg-large,59
1.38,jpeg-medium,59
0.42,jpeg-small,59
1.94,png-large,59
0.56,png-medium,59
0.43,png-small,59
31.61,psd-large,59
1.15,psd-medium,59
0.48,psd-small,59
1.47,svg-large,59
1.54,svg-medium,59
0.5,svg-small,59
2.74,jpeg-large,60
1.52,jpeg-medium,60
0.42,jpeg-small,60
2.38,png-large,60
0.65,png-medium,60
0.42,png-small,60
24.17,psd-large,60
1.18,psd-medium,60
0.57,psd-small,60
1.5,svg-large,60
1.55,svg-medium,60
0.59,svg-small,60
4.11,jpeg-large,61
2.08,jpeg-medium,61
0.41,jpeg-small,61
2.74,png-large,61
0.68,png-medium,61
0.45,png-small,61
42.27,psd-large,61
1.39,psd-medium,61
0.57,psd-small,61
1.51,svg-large,61
1.52,svg-medium,61
0.61,svg-small,61
1.8,jpeg-large,62
1.15,jpeg-medium,62
0.38,jpeg-small,62
1.62,png-large,62
0.52,png-medium,62
0.44,png-small,62
16.23,psd-large,62
1.07,psd-medium,62
0.52,psd-small,62
1.48,svg-large,62
1.5,svg-medium,62
0.52,svg-small,62
3.93,jpeg-large,63
1.98,jpeg-medium,63
0.42,jpeg-small,63
3.35,png-large,63
0.76,png-medium,63
0.44,png-small,63
39.98,psd-large,63
1.4,psd-medium,63
0.55,psd-small,63
1.44,svg-large,63
1.51,svg-medium,63
0.62,svg-small,63
2.13,jpeg-large,64
1.26,jpeg-medium,64
0.39,jpeg-small,64
1.75,png-large,64
0.58,png-medium,64
0.42,png-small,64
16.28,psd-large,64
1.05,psd-medium,64
0.52,psd-small,64
1.47,svg-large,64
1.49,svg-medium,64
0.55,svg-small,64
2.31,jpeg-large,65
1.3,jpeg-medium,65
0.46,jpeg-small,65
1.91,png-large,65
0.55,png-medium,65
0.43,png-small,65
25.5,psd-large,65
1.18,psd-medium,65
0.53,psd-small,65
1.54,svg-large,65
1.58,svg-medium,65
0.52,svg-small,65
2.04,jpeg-large,66
1.26,jpeg-medium,66
0.39,jpeg-small,66
1.8,png-large,66
0.57,png-medium,66
0.41,png-small,66
16.3,psd-large,66
1.09,psd-medium,66
