config_id,workload,time,max-resident-set-size
33,QF_RDL_orb08_888.smt2,7.21,42124
33,AUFNIRA_z3.637557.smt2,5.96,1600996
33,QF_LIA_tightrhombus,8,45064
33,QF_BV_bench_935.smt2,1.3,124788
33,QF_AUFBV_891_sqlite3.smt2,9.85,55812
33,QF_BV_bench_3176.smt2,3.28,123576
33,QF_UFLIA_xs_23_43.smt2,10.06,42756
33,QF_NRA_hong_9.smt2,3.19,36676
33,LRA_formula_277.smt2,4.13,33964
34,QF_LIA_tightrhombus,5.95,34672
34,QF_NRA_hong_9.smt2,3.19,36684
34,QF_UFLIA_xs_23_43.smt2,9.99,43016
34,QF_BV_bench_3176.smt2,373.67,2994316
34,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,8.75,33884
34,QF_RDL_orb08_888.smt2,7.22,42160
34,LRA_formula_277.smt2,4.13,33972
34,QF_AUFBV_891_sqlite3.smt2,0.15,36980
34,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,2.83,35148
34,AUFNIRA_z3.637557.smt2,5.94,1601616
34,QF_BV_bench_935.smt2,301.49,2631868
34,QF_UF_PEQ018_size6.smt2,5.33,36336
35,QF_RDL_orb08_888.smt2,7.22,42128
35,QF_LIA_tightrhombus,8,45064
35,QF_UF_PEQ018_size6.smt2,4.32,35104
35,AUFNIRA_z3.637557.smt2,5.93,1602244
35,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,8.75,34004
35,QF_NRA_hong_9.smt2,3.19,36676
35,QF_AUFBV_891_sqlite3.smt2,9.87,55812
35,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,2.83,35168
35,LRA_formula_277.smt2,4.13,33968
35,QF_BV_bench_935.smt2,1.3,124600
35,QF_BV_bench_3176.smt2,3.28,123576
35,QF_UFLIA_xs_23_43.smt2,9.98,42756
36,QF_BV_bench_935.smt2,1.93,148816
36,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,3.98,35768
36,QF_RDL_orb08_888.smt2,11.56,44696
36,QF_LIA_tightrhombus,2.45,46244
36,QF_UF_PEQ018_size6.smt2,3.89,37984
36,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,14.69,34976
36,QF_AUFBV_891_sqlite3.smt2,5.83,169036
36,QF_BV_bench_3176.smt2,7.43,133032
36,AUFNIRA_z3.637557.smt2,7.08,1643768
36,QF_NRA_hong_9.smt2,3.19,36824
36,LRA_formula_277.smt2,4.53,33988
36,QF_UFLIA_xs_23_43.smt2,19.7,42680
37,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,14.68,34976
37,LRA_formula_277.smt2,4.53,33988
37,QF_RDL_orb08_888.smt2,11.53,44692
37,QF_UF_PEQ018_size6.smt2,3.9,37984
37,AUFNIRA_z3.637557.smt2,7.06,1643800
37,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,3.98,35772
37,QF_UFLIA_xs_23_43.smt2,19.45,42844
37,QF_BV_bench_935.smt2,1.94,148916
37,QF_LIA_tightrhombus,2.45,46300
37,QF_BV_bench_3176.smt2,7.49,144524
37,QF_AUFBV_891_sqlite3.smt2,6.55,169588
37,QF_NRA_hong_9.smt2,3.19,36764
38,QF_AUFBV_891_sqlite3.smt2,6.5,169564
38,QF_BV_bench_935.smt2,1.95,148940
38,QF_UFLIA_xs_23_43.smt2,19.75,42680
38,QF_BV_bench_3176.smt2,7.49,155648
38,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,14.69,34972
38,QF_UF_PEQ018_size6.smt2,3.89,37980
38,QF_NRA_hong_9.smt2,3.19,36764
38,QF_LIA_tightrhombus,2.45,46236
38,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,4,35772
38,AUFNIRA_z3.637557.smt2,7.07,1642356
38,LRA_formula_277.smt2,4.55,33984
38,QF_RDL_orb08_888.smt2,11.53,44688
39,AUFNIRA_z3.637557.smt2,501.26,2701572
39,QF_BV_bench_935.smt2,17.72,522568
39,QF_UF_PEQ018_size6.smt2,913.54,1175160
39,QF_NRA_hong_9.smt2,5.68,40780
39,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,18.94,41696
39,QF_AUFBV_891_sqlite3.smt2,6.34,163692
39,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,9.63,307044
39,QF_LIA_tightrhombus,1.12,35572
39,LRA_formula_277.smt2,1.76,34684
39,QF_RDL_orb08_888.smt2,12.31,108372
39,QF_UFLIA_xs_23_43.smt2,54.24,599112
39,QF_BV_bench_3176.smt2,29.58,664364
40,QF_BV_bench_3176.smt2,7.42,133024
40,QF_RDL_orb08_888.smt2,11.55,44700
40,QF_AUFBV_891_sqlite3.smt2,5.83,166984
40,QF_BV_bench_935.smt2,1.94,148832
40,LRA_formula_277.smt2,4.53,33992
40,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,14.69,34980
40,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,3.97,35776
40,QF_LIA_tightrhombus,2.45,46240
